"","process","scenario","year","GWh_sum"
"318","원자력","OSP_CN_REN_30","2040",9111.605026
"319","원자력","OSP_CN_REN_30","2045",6744.95437
"320","원자력","OSP_CN_REN_30","2050",6744.95437
"321","천연가스CC","OSP_CN_REN_30","2017",4600.7170367
"322","천연가스CC","OSP_CN_REN_30","2020",3536.8340767
"323","천연가스CC","OSP_CN_REN_30","2025",2175.1083479
"324","천연가스CC","OSP_CN_REN_30","2030",8333.4247897
"325","천연가스CC","OSP_CN_REN_30","2035",8582.07273703
"326","천연가스CC","OSP_CN_REN_30","2040",13226.98560397
"327","천연가스CC","OSP_CN_REN_30","2045",17090.705096
"328","천연가스CC","OSP_CN_REN_30","2050",13642.488177
"329","태양광","OSP_CN_REN_30","2017",593.2285051
"330","태양광","OSP_CN_REN_30","2020",1678.8336021
"331","태양광","OSP_CN_REN_30","2025",3682.7031141
"332","태양광","OSP_CN_REN_30","2030",4146.4450061
"333","태양광","OSP_CN_REN_30","2035",6959.1777411
"334","태양광","OSP_CN_REN_30","2040",12444.54091
"335","태양광","OSP_CN_REN_30","2045",14379.24335
"336","태양광","OSP_CN_REN_30","2050",20460.09494
"337","풍력","OSP_CN_REN_30","2017",185.9827939
"338","풍력","OSP_CN_REN_30","2020",225.38809692
"339","풍력","OSP_CN_REN_30","2025",1124.0917786
"340","풍력","OSP_CN_REN_30","2030",1388.0831686
"341","풍력","OSP_CN_REN_30","2035",4915.8909596
"342","풍력","OSP_CN_REN_30","2040",4679.048742
"343","풍력","OSP_CN_REN_30","2045",4679.048742
"344","풍력","OSP_CN_REN_30","2050",4679.048742
"345","해상풍력","OSP_CN_REN_30","2017",0
"346","해상풍력","OSP_CN_REN_30","2020",79.7504196
"347","해상풍력","OSP_CN_REN_30","2025",525.8429942
"348","해상풍력","OSP_CN_REN_30","2030",2066.579861
"349","해상풍력","OSP_CN_REN_30","2035",2066.579861
"350","해상풍력","OSP_CN_REN_30","2040",2066.579861
"351","해상풍력","OSP_CN_REN_30","2045",2066.579861
"352","해상풍력","OSP_CN_REN_30","2050",2066.579861
"353","ESS","OSP_CN_REN_40","2017",0
"354","ESS","OSP_CN_REN_40","2020",0
"355","ESS","OSP_CN_REN_40","2025",0
"356","ESS","OSP_CN_REN_40","2030",0
"357","ESS","OSP_CN_REN_40","2035",0
"358","ESS","OSP_CN_REN_40","2040",107.8371155
"359","ESS","OSP_CN_REN_40","2045",62.36436233
"360","ESS","OSP_CN_REN_40","2050",1476.033221
"361","기타재생","OSP_CN_REN_40","2017",1486.104225092
"362","기타재생","OSP_CN_REN_40","2020",1879.592143026
"363","기타재생","OSP_CN_REN_40","2025",1987.372730226
"364","기타재생","OSP_CN_REN_40","2030",2061.236349426
"365","기타재생","OSP_CN_REN_40","2035",2229.012284466
"366","기타재생","OSP_CN_REN_40","2040",2229.012284466
"367","기타재생","OSP_CN_REN_40","2045",2229.012284466
"368","기타재생","OSP_CN_REN_40","2050",2229.012284466
"369","석유","OSP_CN_REN_40","2017",277.076774436
"370","석유","OSP_CN_REN_40","2020",164.76016644
"371","석유","OSP_CN_REN_40","2025",83.28985949
"372","석유","OSP_CN_REN_40","2030",89.413578205
"373","석유","OSP_CN_REN_40","2035",0
"374","석유","OSP_CN_REN_40","2040",0
"375","석유","OSP_CN_REN_40","2045",0
"376","석유","OSP_CN_REN_40","2050",0
"377","석탄","OSP_CN_REN_40","2017",20359.7906381
"378","석탄","OSP_CN_REN_40","2020",20373.1756601
"379","석탄","OSP_CN_REN_40","2025",19030.1823961
"380","석탄","OSP_CN_REN_40","2030",14212.8003861
"381","석탄","OSP_CN_REN_40","2035",11897.533555
"382","석탄","OSP_CN_REN_40","2040",5688.66695005
"383","석탄","OSP_CN_REN_40","2045",767.0416861
"384","석탄","OSP_CN_REN_40","2050",0
"385","신에너지","OSP_CN_REN_40","2017",233.4491227
"386","신에너지","OSP_CN_REN_40","2020",737.9979574
"387","신에너지","OSP_CN_REN_40","2025",1279.4273511
"388","신에너지","OSP_CN_REN_40","2030",2224.8994883
"389","신에너지","OSP_CN_REN_40","2035",2441.4284879
"390","신에너지","OSP_CN_REN_40","2040",3376.6225918
"391","신에너지","OSP_CN_REN_40","2045",3463.15666101
"392","신에너지","OSP_CN_REN_40","2050",4050.9299999
"393","양수","OSP_CN_REN_40","2017",0
"394","양수","OSP_CN_REN_40","2020",360
"395","양수","OSP_CN_REN_40","2025",360
"396","양수","OSP_CN_REN_40","2030",398.29787234
"397","양수","OSP_CN_REN_40","2035",497.8723404
"398","양수","OSP_CN_REN_40","2040",498.8988146
"399","양수","OSP_CN_REN_40","2045",497.8723404
"400","양수","OSP_CN_REN_40","2050",497.8723404
"401","원자력","OSP_CN_REN_40","2017",12722.404137
"402","원자력","OSP_CN_REN_40","2020",13755.9693806
"403","원자력","OSP_CN_REN_40","2025",14998.460975
"404","원자력","OSP_CN_REN_40","2030",12069.918346
"405","원자력","OSP_CN_REN_40","2035",10294.930354
"406","원자력","OSP_CN_REN_40","2040",9111.605026
"407","원자력","OSP_CN_REN_40","2045",6744.95437
"408","원자력","OSP_CN_REN_40","2050",6744.95437
"409","천연가스CC","OSP_CN_REN_40","2017",4600.7170367
"410","천연가스CC","OSP_CN_REN_40","2020",3536.83407631
"411","천연가스CC","OSP_CN_REN_40","2025",2175.1083479
"412","천연가스CC","OSP_CN_REN_40","2030",8184.6486367
"413","천연가스CC","OSP_CN_REN_40","2035",7724.88354403
"414","천연가스CC","OSP_CN_REN_40","2040",13983.7520352
"415","천연가스CC","OSP_CN_REN_40","2045",18260.635238
"416","천연가스CC","OSP_CN_REN_40","2050",11659.4638214
"417","태양광","OSP_CN_REN_40","2017",593.2285051
"418","태양광","OSP_CN_REN_40","2020",1678.8336021
"419","태양광","OSP_CN_REN_40","2025",3682.7031141
"420","태양광","OSP_CN_REN_40","2030",4283.2575651
"421","태양광","OSP_CN_REN_40","2035",7816.3669341
"422","태양광","OSP_CN_REN_40","2040",12751.20297
"423","태양광","OSP_CN_REN_40","2045",14804.72287
"424","태양광","OSP_CN_REN_40","2050",22262.04387
