source,date,MWh
LNG,2016-04-12,385.433122
바이오가스,2016-04-12,52.7088
바이오매스,2016-04-12,0
연료전지,2016-04-12,433.513105
태양광,2016-04-12,47.50652
폐기물,2016-04-12,336.827132
LNG,2016-04-13,305.661675
바이오가스,2016-04-13,63.912
바이오매스,2016-04-13,0
연료전지,2016-04-13,434.857746
태양광,2016-04-13,42.012709
폐기물,2016-04-13,353.992478
LNG,2016-04-14,279.936435
바이오가스,2016-04-14,101.6688
바이오매스,2016-04-14,0
연료전지,2016-04-14,435.591938
태양광,2016-04-14,47.645271
폐기물,2016-04-14,362.65753
LNG,2016-04-15,224.354002
바이오가스,2016-04-15,86.0544
바이오매스,2016-04-15,0
연료전지,2016-04-15,435.558466
태양광,2016-04-15,64.238793
폐기물,2016-04-15,353.358311
LNG,2016-04-16,222.797962
바이오가스,2016-04-16,101.664
바이오매스,2016-04-16,0
연료전지,2016-04-16,435.478932
태양광,2016-04-16,23.646425
폐기물,2016-04-16,358.099854
LNG,2016-04-17,231.852597
바이오가스,2016-04-17,91.584
바이오매스,2016-04-17,0
연료전지,2016-04-17,435.771147
태양광,2016-04-17,49.516796
폐기물,2016-04-17,350.347267
LNG,2016-04-18,214.155718
바이오가스,2016-04-18,69.5664
바이오매스,2016-04-18,0
연료전지,2016-04-18,415.433875
태양광,2016-04-18,60.426467
폐기물,2016-04-18,352.880555
LNG,2016-04-19,287.798983
바이오가스,2016-04-19,105.9072
바이오매스,2016-04-19,0
연료전지,2016-04-19,428.459034
태양광,2016-04-19,68.702575
폐기물,2016-04-19,355.346237
LNG,2016-04-20,286.827096
바이오가스,2016-04-20,100.2624
바이오매스,2016-04-20,0
연료전지,2016-04-20,435.086992
태양광,2016-04-20,37.857273
폐기물,2016-04-20,347.605118
LNG,2016-04-21,211.685601
바이오가스,2016-04-21,105.3216
바이오매스,2016-04-21,0
연료전지,2016-04-21,434.126908
태양광,2016-04-21,17.243117
폐기물,2016-04-21,344.210618
LNG,2016-04-22,211.989873
바이오가스,2016-04-22,110.1696
바이오매스,2016-04-22,0
연료전지,2016-04-22,433.207502
태양광,2016-04-22,28.278998
폐기물,2016-04-22,362.216491
LNG,2016-04-23,223.809663
바이오가스,2016-04-23,108.8928
바이오매스,2016-04-23,0
연료전지,2016-04-23,433.286439
태양광,2016-04-23,50.290273
폐기물,2016-04-23,345.010409
LNG,2016-04-24,230.285261
바이오가스,2016-04-24,112.3296
바이오매스,2016-04-24,0
연료전지,2016-04-24,421.761865
태양광,2016-04-24,67.224329
폐기물,2016-04-24,304.509264
LNG,2016-04-25,214.45553
바이오가스,2016-04-25,108.2496
바이오매스,2016-04-25,0
연료전지,2016-04-25,375.169859
태양광,2016-04-25,62.905428
폐기물,2016-04-25,309.918539
LNG,2016-04-26,129.886936
바이오가스,2016-04-26,112.368
바이오매스,2016-04-26,0
연료전지,2016-04-26,412.33257
태양광,2016-04-26,56.802726
폐기물,2016-04-26,313.320888
LNG,2016-04-27,77.959315
바이오가스,2016-04-27,110.9088
바이오매스,2016-04-27,0
연료전지,2016-04-27,438.870652
태양광,2016-04-27,24.676152
폐기물,2016-04-27,311.18976
LNG,2016-04-28,80.50531
바이오가스,2016-04-28,112.7616
바이오매스,2016-04-28,0
연료전지,2016-04-28,444.975087
태양광,2016-04-28,56.930653
폐기물,2016-04-28,286.069584
LNG,2016-04-29,163.544415
바이오가스,2016-04-29,112.4592
바이오매스,2016-04-29,0
연료전지,2016-04-29,446.453315
태양광,2016-04-29,63.487386
폐기물,2016-04-29,165.500592
LNG,2016-04-30,312.731154
바이오가스,2016-04-30,112.3776
바이오매스,2016-04-30,0
연료전지,2016-04-30,432.114232
태양광,2016-04-30,30.854481
폐기물,2016-04-30,302.199192
LNG,2016-05-01,322.027621
바이오가스,2016-05-01,112.1712
바이오매스,2016-05-01,0
연료전지,2016-05-01,431.443402
태양광,2016-05-01,47.525513
폐기물,2016-05-01,315.547008
LNG,2016-05-02,303.16336
바이오가스,2016-05-02,85.3968
바이오매스,2016-05-02,0
연료전지,2016-05-02,431.647763
태양광,2016-05-02,47.802257
폐기물,2016-05-02,285.668928
LNG,2016-05-03,358.31895
바이오가스,2016-05-03,103.3872
바이오매스,2016-05-03,0
연료전지,2016-05-03,432.608729
태양광,2016-05-03,3.959054
폐기물,2016-05-03,257.237208
LNG,2016-05-04,496.024832
바이오가스,2016-05-04,111.7536
바이오매스,2016-05-04,0
연료전지,2016-05-04,384.050196
태양광,2016-05-04,71.530444
폐기물,2016-05-04,275.49192
LNG,2016-05-05,394.472492
바이오가스,2016-05-05,115.7424
바이오매스,2016-05-05,0
연료전지,2016-05-05,397.934522
태양광,2016-05-05,63.211307
폐기물,2016-05-05,263.423808
LNG,2016-05-06,304.416005
바이오가스,2016-05-06,113.7456
바이오매스,2016-05-06,0
연료전지,2016-05-06,431.55918
태양광,2016-05-06,6.017761
폐기물,2016-05-06,264.662784
LNG,2016-05-07,294.282864
바이오가스,2016-05-07,113.6544
바이오매스,2016-05-07,0
연료전지,2016-05-07,431.073617
태양광,2016-05-07,68.70745
폐기물,2016-05-07,277.575168
LNG,2016-05-08,333.75668
바이오가스,2016-05-08,115.2192
바이오매스,2016-05-08,0
연료전지,2016-05-08,431.114796
태양광,2016-05-08,66.449364
폐기물,2016-05-08,98.505984
LNG,2016-05-09,432.470687
바이오가스,2016-05-09,108.9888
바이오매스,2016-05-09,0
연료전지,2016-05-09,431.825723
태양광,2016-05-09,50.781444
폐기물,2016-05-09,62.763
LNG,2016-05-10,343.703833
바이오가스,2016-05-10,115.9776
바이오매스,2016-05-10,0
연료전지,2016-05-10,426.389986
태양광,2016-05-10,12.628946
폐기물,2016-05-10,60.156
LNG,2016-05-11,321.788473
바이오가스,2016-05-11,111.4944
바이오매스,2016-05-11,0
연료전지,2016-05-11,431.787202
태양광,2016-05-11,69.490466
폐기물,2016-05-11,50.2836
LNG,2016-05-12,380.108014
바이오가스,2016-05-12,108.936
바이오매스,2016-05-12,0
연료전지,2016-05-12,431.539691
태양광,2016-05-12,68.872763
폐기물,2016-05-12,55.9602
LNG,2016-05-13,384.087921
바이오가스,2016-05-13,116.184
바이오매스,2016-05-13,0
연료전지,2016-05-13,431.747438
태양광,2016-05-13,69.522568
폐기물,2016-05-13,49.4922
LNG,2016-05-14,451.223701
바이오가스,2016-05-14,115.128
바이오매스,2016-05-14,0
연료전지,2016-05-14,389.450568
태양광,2016-05-14,67.850197
폐기물,2016-05-14,32.8266
LNG,2016-05-15,413.836422
바이오가스,2016-05-15,114.9312
바이오매스,2016-05-15,0
연료전지,2016-05-15,389.238623
태양광,2016-05-15,35.184051
폐기물,2016-05-15,0
LNG,2016-05-16,330.514611
바이오가스,2016-05-16,113.3856
바이오매스,2016-05-16,0
연료전지,2016-05-16,389.454543
태양광,2016-05-16,70.700311
폐기물,2016-05-16,0
LNG,2016-05-17,333.448758
바이오가스,2016-05-17,104.8368
바이오매스,2016-05-17,0
연료전지,2016-05-17,388.941071
태양광,2016-05-17,68.820037
폐기물,2016-05-17,0
LNG,2016-05-18,329.397607
바이오가스,2016-05-18,112.824
바이오매스,2016-05-18,0
연료전지,2016-05-18,387.107525
태양광,2016-05-18,68.617256
폐기물,2016-05-18,0
LNG,2016-05-19,272.927931
바이오가스,2016-05-19,113.4672
바이오매스,2016-05-19,0
연료전지,2016-05-19,385.467561
태양광,2016-05-19,67.720003
폐기물,2016-05-19,0
LNG,2016-05-20,180.822852
바이오가스,2016-05-20,105.7776
바이오매스,2016-05-20,0
연료전지,2016-05-20,352.93128
