year,sido,gungu,type, 1 , 2 , 3 , 4 , 5 , 6 , 7 
2021,서울특별시,송파구,농사용," 261,818 "," 237,667 "," 203,326 "," 195,441 "," 201,065 "," 214,162 "," 248,442 "
2021,서울특별시,송파구,가로등," 1,724,042 "," 1,620,723 "," 1,397,294 "," 1,380,202 "," 1,242,429 "," 1,172,053 "," 1,141,336 "
2021,서울특별시,송파구,심 야," 786,788 "," 728,272 "," 645,641 "," 1,305,638 "," 2,623,134 "," 3,990,972 "," 5,696,610 "
2021,서울특별시,송파구,합 계," 256,116,997 "," 243,178,263 "," 210,517,232 "," 207,945,984 "," 203,969,858 "," 227,174,663 "," 269,011,011 "
2021,서울특별시,중랑구,주택용," 50,525,441 "," 48,230,976 "," 41,465,308 "," 42,078,722 "," 40,026,230 "," 42,069,078 "," 51,135,842 "
2021,서울특별시,중랑구,일반용," 43,495,045 "," 41,939,555 "," 34,380,842 "," 32,699,075 "," 31,063,790 "," 35,018,264 "," 41,129,145 "
2021,서울특별시,중랑구,교육용," 3,707,101 "," 3,366,170 "," 2,734,188 "," 2,170,640 "," 1,561,664 "," 1,627,264 "," 2,098,226 "
2021,서울특별시,중랑구,산업용," 6,843,031 "," 6,782,293 "," 5,658,184 "," 5,579,907 "," 4,987,767 "," 5,201,675 "," 5,958,574 "
2021,서울특별시,중랑구,농사용," 35,976 "," 40,485 "," 28,825 "," 24,968 "," 24,242 "," 25,746 "," 27,756 "
2021,서울특별시,중랑구,가로등," 1,015,428 "," 956,320 "," 878,975 "," 815,441 "," 781,880 "," 710,016 "," 753,502 "
2021,서울특별시,중랑구,심 야," 467,672 "," 468,034 "," 337,973 "," 277,006 "," 275,510 "," 412,405 "," 504,422 "
2021,서울특별시,중랑구,합 계," 106,089,694 "," 101,783,833 "," 85,484,295 "," 83,645,759 "," 78,721,083 "," 85,064,448 "," 101,607,467 "
2021,서울특별시,노원구,주택용," 64,602,061 "," 61,638,156 "," 52,457,691 "," 54,217,511 "," 51,141,643 "," 53,604,351 "," 64,510,456 "
2021,서울특별시,노원구,일반용," 55,937,627 "," 54,009,352 "," 44,988,066 "," 42,673,303 "," 41,186,352 "," 46,286,069 "," 54,776,988 "
2021,서울특별시,노원구,교육용," 13,657,828 "," 12,378,260 "," 9,952,078 "," 8,392,927 "," 6,800,343 "," 7,575,732 "," 9,076,033 "
2021,서울특별시,노원구,산업용," 6,255,729 "," 5,976,684 "," 5,570,806 "," 5,724,010 "," 5,092,424 "," 5,724,929 "," 6,320,127 "
2021,서울특별시,노원구,농사용," 39,078 "," 38,644 "," 28,269 "," 27,696 "," 25,718 "," 25,692 "," 25,931 "
2021,서울특별시,노원구,가로등," 1,205,921 "," 1,152,639 "," 1,077,150 "," 1,022,424 "," 961,791 "," 907,635 "," 897,388 "
2021,서울특별시,노원구,심 야," 970,070 "," 964,539 "," 699,941 "," 455,884 "," 286,576 "," 670,072 "," 723,968 "
